Epoch,Train Loss,Val Loss,Train mIoU (%),Val mIoU (%)
1,0.6304008158266544,0.4920206650197506,33.83912768767121,47.832312535990845
2,0.3895605143845081,0.38743140426278116,54.08466173926253,56.087436670922266
3,0.338485759177804,0.3261360965818167,58.82282344656554,58.630883803825554
4,0.31031023532450197,0.30540749411284923,61.33463370466213,62.747799035916366
5,0.28284397519826887,0.29483044278621673,63.24959043478607,63.37127354575224
6,0.27372822789251805,0.2701255992352963,64.17982505136513,64.56607222263553
7,0.2626646082639694,0.28240876848995683,64.84207559657348,64.4278272861587
8,0.25040274590849876,0.267208434894681,66.0384145533509,64.13415768893954
9,0.24238270543813706,0.2713114460557699,66.60481134153194,64.54772922288899
10,0.23416167117357253,0.26088452008366586,67.26954422124403,65.94723371281094
11,0.22579969807565212,0.24821061152219773,67.94299735490866,67.19583634659759
12,0.21925760118663312,0.2553653206974268,68.56139978402727,66.42302947476438
13,0.21590180817842483,0.24426343685388566,68.74669113486095,66.66118468931144
14,0.20611530928611754,0.28031697316467763,69.59208545058505,65.3150533955478
15,0.20564278328716754,0.24103091217577458,69.50844425044401,67.84046411361419
16,0.20153762456774713,0.23228816151618958,69.97867970127211,67.76821790480179
17,0.19664366658627988,0.22723368752002715,70.48912513632263,68.74805537683767
18,0.19165106337964535,0.2285111325532198,70.77481074719914,68.35595641601107
19,0.18861416646540166,0.22155488573014737,71.06620038851175,69.08644401856556
20,0.18294910482168197,0.2243681056499481,71.50565395739149,69.1674674861539
21,0.18309209025204182,0.2294112871438265,71.43661843613354,68.62469805424143
22,0.17667953623682262,0.2145697650462389,71.916305716687,69.3501081347297
23,0.17359314444363116,0.2227814010977745,72.25876205011569,68.65432317036662
24,0.17003042601644994,0.21856016547977924,72.68110921162798,69.5400828792346
25,0.16776625120043753,0.22731122112274169,72.66347902835761,69.24309967667513
26,0.16656960312128066,0.21478672191500664,72.88175375298984,70.51688505606087
27,0.1602721063271165,0.22105307485163211,73.57644742366013,69.8676455039392
28,0.15612323178052903,0.2198177945315838,73.94558863967929,70.7930290983294
29,0.15654246923923493,0.21453716027736663,73.8416088685974,69.96295609288671
30,0.15451243849098684,0.21322717157006263,74.08389946027613,70.3421363676534
31,0.15141336113512516,0.21669511172175407,74.50447738520542,70.86525421573492
32,0.14686934439390897,0.22025121292471886,74.76748747817423,70.89241564313366
33,0.14630132754147052,0.22157772509753704,75.15354209282667,70.53138271694897
34,0.14714948630183936,0.2420849951803684,74.96280296536662,69.16173754047178
35,0.14132938091009856,0.21340320935845375,75.44261207489423,71.64931825257037
36,0.1388918553993106,0.21083524483442306,75.92733114635696,70.9483015704784
37,0.1362696329176426,0.2302345684170723,75.89070614695507,70.56545796062326
38,0.13664563756734133,0.21817220076918603,75.93211002933081,70.75447649621428
39,0.13220875103771687,0.22617816713452338,76.5825930974784,70.5473917198586
40,0.13193545481562616,0.2273735939860344,76.47262173995799,71.08177344966217
41,0.13055028783082961,0.2253283893764019,76.48016182159523,71.4110046545135
42,0.12854033402353526,0.21936836676299573,77.00584916015906,70.696615355906
43,0.12749285188168288,0.22486052181571722,76.91206813710741,71.3985408158123
44,0.12640950671434403,0.21883806324005126,77.27815117933179,71.7454430397534
45,0.12390865071713925,0.22824436597526074,77.51683847614332,70.82325204032865
46,0.12265981645882129,0.2412885230332613,78.01937476661627,70.44740563733492
47,0.12069352793395519,0.234672012925148,77.97725640010815,70.99803472153602
48,0.12005401100069285,0.2295420399904251,78.0752264406068,71.37318239319413
49,0.12828265084922313,0.2070433886349201,76.84064182085272,71.37983499447603
50,0.12551824756264687,0.20932742120325565,77.08973252184693,71.40290156309715
51,0.12398388084620238,0.20951030458509923,77.35312624520724,71.49082667342982
52,0.12334266808778048,0.2087880606353283,77.37100645603775,71.58466852556619
53,0.12259324365407229,0.20976602517068385,77.56107962772482,71.62334539187671
54,0.12194438363164663,0.2119910137951374,77.59253214015752,71.57924698117382
55,0.12170197102576494,0.21142933382093906,77.56405247839906,71.61594898958758
56,0.1217891399025917,0.2109381486028433,77.67360337005165,71.63963733838544
57,0.12143301852941513,0.2117553766667843,77.62799643233961,71.71816404273015
58,0.1211274772465229,0.21261758762598038,77.8339605676833,71.72130455269394
59,0.12093565869480372,0.21193388514220715,77.69590385839176,71.69754124393958
60,0.12039779250621796,0.2136494909673929,77.87677956666899,71.77897616884073
61,0.12047652208209038,0.21201429994404317,77.84112270932282,71.71545657281328
62,0.12606348901689052,0.20852701456844808,77.08673540883721,71.51448486075273
63,0.12473086394667625,0.20927620901167393,77.20152400504821,71.59830650419192
64,0.12432517221570015,0.20872950583696365,77.29668203342945,71.46810416139513
65,0.12370038713514805,0.2099965490400791,77.44050281272182,71.44047505497736
66,0.12349520677179097,0.21103913371264935,77.48549064821671,71.59166727456926
67,0.1231314194098115,0.20932002200186253,77.43640464363114,71.59789924520412
68,0.12286551607400178,0.21064604143798352,77.54279369286712,71.66030779067023
69,0.12254053403586149,0.20914577861130237,77.53343265365413,71.63510605551117
70,0.12196354527771473,0.2109861399680376,77.58426528504879,71.77982401442492
71,0.12217548356205225,0.2110825872719288,77.58481585911395,71.683524028504
72,0.12186750367581844,0.2103618550300598,77.71607292633522,71.78281279724725
73,0.12146516725420951,0.21202855561673642,77.67595588618495,71.567163904461
74,0.12535096359550954,0.2081706936210394,77.16602870110795,71.3513184812845
75,0.1248470800086856,0.20908556267619133,77.24863769128,71.55704096639951
76,0.12471218943744898,0.20861830596625805,77.23064764372185,71.512469346124
77,0.12422111234366894,0.20810701318085192,77.38281322409432,71.49116617876213
78,0.12408620861768722,0.20899344429373742,77.26438949116383,71.47119294215948
79,0.12395321570634842,0.2090738255828619,77.28153157986843,71.53156716217947
80,0.123735547336936,0.20961674652993678,77.30277898020998,71.54093660547758
81,0.1235005470186472,0.21146825447678566,77.33537388566477,71.5866822698967
82,0.12325097063183785,0.21105463787913323,77.47743642842627,71.55147132534614
83,0.12295956799685955,0.20898400792479516,77.4173961208328,71.50624834136204
84,0.1228287113070488,0.21098837082087993,77.52395757656491,71.46396274616984
85,0.12287949990779161,0.20957761642336845,77.49530256741065,71.52105859751434
